,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19270412,   0.28,   0.24,   0.18,  -0.38,  -0.25,  -0.66,  -0.45,  -0.19,   0.24,  -0.63
19270413,   0.66,   0.52,  -0.15,  -0.30,   0.62,   0.52,   0.06,   0.39,   0.03,   0.67
19270414,   0.52,   0.53,   0.38,  -0.22,  -0.21,   0.33,   0.06,   0.15,   0.29,  -0.03
19270416,   0.93,   0.56,  -0.37,  -0.10,   0.01,   0.15,   0.05,   0.39,   0.16,   0.85
19270418,  -0.73,   0.34,  -0.38,  -0.74,  -0.02,  -0.06,   0.12,   0.13,   0.15,   0.20
19270419,   0.19,   0.73,   0.43,   0.75,   0.36,  -0.11,   0.14,  -0.15,   0.06,   0.48
19270420,  -1.01,   0.02,   0.51,   0.66,   0.41,   0.26,   0.55,  -0.12,   0.39,  -0.05
19270421,  -0.59,   0.23,   0.03,   0.24,   0.41,   0.40,   0.43,   0.00,   0.01,   1.64
19270422,  -0.98,  -0.72,  -0.36,   0.61,  -0.21,  -0.11,   0.32,   0.08,   0.37,   0.24
19270423,  -0.06,  -1.08,  -0.54,  -0.32,  -0.31,  -0.30,  -0.15,  -0.26,  -0.03,  -0.94
19270425,  -1.10,  -1.26,  -1.15,  -1.81,  -1.52,  -1.07,  -1.83,  -1.19,  -1.45,  -2.76
19270426,   0.01,   0.57,   0.48,   0.41,   0.75,   0.43,   0.58,   0.31,   0.46,   1.52
19270427,  -1.19,  -2.31,  -0.94,  -0.47,   0.03,  -0.40,  -0.09,  -0.40,  -0.04,  -0.06
19270428,  -0.36,  -1.14,  -0.92,  -1.29,  -1.30,  -1.14,  -0.59,  -0.93,  -1.47,  -1.77
19270429,   0.83,   0.33,   0.47,   0.24,   0.45,   0.15,   0.45,   0.15,   0.94,   1.47
19270430,   0.11,   0.69,  -0.19,   0.47,  -0.24,   0.08,   0.11,  -0.17,  -0.13,   0.02
19270502,   0.64,   0.33,   0.08,   0.55,  -0.02,   0.31,  -0.05,   0.46,   0.07,   0.91
19270503,   1.64,   0.33,   0.11,   0.35,   0.96,   0.61,   0.75,   0.93,   0.76,   1.52
19270504,   0.50,   2.04,   1.42,   0.80,   0.73,   0.76,   0.88,   0.77,   0.75,   0.39
19270505,   0.41,  -0.17,   0.89,   1.00,   0.54,   0.03,   0.32,  -0.31,   0.37,   0.20
19270506,   0.01,   0.43,   0.65,   0.45,   0.11,  -0.03,   0.45,   0.30,   0.29,   0.04
19270507,   1.21,   0.24,   0.61,   0.17,   0.04,   0.27,   0.25,   0.50,   0.24,   0.38
