,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19661111,   0.62,   0.15,   0.27,   0.37,   0.37,  -0.14,   0.01,   0.12,  -0.05,  -0.22
19661114,  -0.75,  -0.82,  -0.52,  -0.58,  -0.63,  -0.35,  -0.58,  -0.21,  -0.58,  -0.09
19661115,   0.44,   0.31,   0.37,   0.03,   0.56,   0.54,   0.10,   0.30,   0.64,   0.95
19661116,   0.74,   1.16,   1.40,   0.27,   0.71,   1.14,   0.74,   0.86,   0.57,   1.37
19661117,  -0.44,  -1.06,  -0.61,   0.13,  -0.54,  -0.56,  -0.57,  -0.53,  -0.45,  -1.90
19661118,  -1.40,  -1.10,  -0.64,  -0.26,  -1.03,  -0.76,  -0.58,  -0.18,  -0.15,  -0.43
19661121,  -2.04,  -1.42,  -1.65,  -1.42,  -1.56,  -1.15,  -1.40,  -1.09,  -1.10,  -1.19
19661122,  -0.46,  -1.04,  -0.29,  -0.80,  -0.35,  -0.53,  -0.47,  -0.24,  -0.54,   0.13
19661123,   0.77,   0.19,   0.25,   0.67,   0.21,   0.57,   1.26,   0.63,   1.01,   1.43
19661125,   1.52,   1.47,   0.72,   1.05,   0.45,   0.58,   0.80,   0.38,   0.40,   1.36
19661128,  -0.84,  -0.94,  -0.26,  -0.07,   0.00,  -0.54,   0.23,   0.12,   0.34,   0.69
19661129,  -0.24,  -0.95,  -0.20,  -0.50,  -0.38,  -0.41,  -0.16,   0.06,  -0.38,   0.26
19661130,   0.65,  -0.59,  -0.21,   0.43,  -0.10,  -0.05,  -0.38,   0.22,   0.54,   0.76
19661201,  -0.29,  -0.45,  -0.13,   0.27,   0.10,  -0.11,  -1.06,  -0.49,  -0.28,  -0.61
19661202,   0.43,   0.79,  -0.07,   0.12,   0.04,   0.00,   0.45,  -0.20,  -0.55,   0.02
19661205,   0.52,  -0.30,  -0.02,   0.30,   0.27,  -0.24,  -0.20,   0.38,   0.27,   0.22
19661206,   0.50,   0.20,   0.81,   0.94,   0.65,   0.58,   0.67,   0.86,   0.75,   0.88
19661207,   0.82,   0.47,   1.00,   0.57,   1.11,   0.79,   1.47,   1.08,   0.43,   1.83
19661208,   0.75,   0.34,   0.89,   0.50,   0.14,   0.17,   0.09,   0.39,   0.67,   0.39
19661209,   1.28,   1.31,   0.70,   0.45,  -0.17,   0.61,  -0.05,  -0.45,   0.24,   0.29
19661212,   1.73,   2.18,   1.03,   1.02,   1.11,   0.64,   0.85,   1.00,   0.53,   0.98
19661213,  -0.44,   0.54,  -0.58,   0.76,  -0.68,   0.05,  -0.49,  -0.38,  -0.15,  -0.61
19661214,   0.79,  -0.03,   0.33,   0.48,   0.01,  -0.64,   0.04,   0.30,  -0.28,   0.06
19661215,  -1.31,  -1.86,  -0.93,  -0.29,  -1.27,  -0.18,  -1.34,  -0.39,  -1.33,  -0.88
19661216,   0.64,   0.61,  -0.34,  -0.23,  -0.28,  -0.16,   0.07,   0.23,  -0.14,   0.10
19661219,  -0.35,  -0.95,  -0.33,  -0.46,  -1.20,  -0.31,   0.29,   0.10,  -0.20,   0.29
19661220,  -0.98,  -0.27,  -0.32,  -0.19,  -0.80,  -0.35,  -0.14,  -0.41,  -0.14,  -0.59
19661221,   0.72,   0.38,   0.54,   0.64,   0.52,   0.17,   0.40,   0.66,   0.73,   0.66
19661222,   0.37,   0.42,   0.55,   0.62,   0.55,   0.80,   0.54,   0.19,  -0.03,   0.28
19661223,   0.32,   0.00,   0.25,  -0.09,  -0.41,  -0.23,  -0.31,  -0.04,  -0.36,  -0.88
19661227,  -1.19,  -0.68,  -0.38,  -0.07,  -0.64,  -0.79,  -0.12,  -0.43,  -0.54,  -0.39
19661228,  -0.82,  -0.83,  -1.16,  -0.50,  -0.35,  -0.17,  -0.15,  -0.41,  -0.13,  -0.92
19661229,  -0.63,  -0.58,  -0.38,   0.10,  -0.14,  -0.25,  -0.31,  -0.56,  -0.31,  -0.68
19661230,  -0.84,  -0.72,  -0.97,  -0.41,  -0.30,   0.87,  -0.32,   0.08,   0.23,   0.25
19670103,   1.54,   3.13,   0.73,   0.64,   0.56,  -0.37,  -0.88,  -0.14,  -0.94,  -0.63
19670104,   1.41,   0.48,   0.54,  -0.07,   0.10,   0.18,   0.72,   0.25,  -0.49,  -0.21
19670105,   2.23,   2.83,   2.22,   2.16,   1.41,   0.88,   0.82,   1.20,   0.60,   0.88
19670106,   1.39,   0.83,   1.92,   0.98,   0.54,   0.10,   0.43,   0.36,   1.03,   0.76
19670109,   1.15,   1.24,   1.34,   0.92,   0.08,   1.16,   0.25,   0.70,   1.01,   1.15
19670110,  -0.55,   0.15,  -0.16,   0.27,   0.04,   0.06,  -0.01,  -0.05,   0.19,  -0.17
19670111,   0.86,   0.89,   1.17,   0.48,   0.42,   0.79,   0.18,   0.58,   1.17,   2.19
19670112,  -0.11,   1.37,   0.38,   0.73,   0.75,   0.15,   0.35,   0.59,   0.34,   0.96
19670113,   0.26,   0.60,   0.70,   0.65,   0.68,   0.64,   0.54,   0.52,   0.91,   1.00
19670116,   0.52,   0.13,   0.11,   0.16,  -0.12,   0.17,  -0.26,  -0.08,  -0.26,  -0.98
19670117,   2.32,   1.01,   1.40,   0.98,   1.28,   0.80,   1.40,   0.98,   0.91,   1.05
19670118,   1.11,   0.50,   0.62,   0.36,   0.38,   0.61,   1.23,   0.58,   0.30,   0.07
19670119,   0.44,   0.52,  -0.17,  -0.21,   0.22,   0.38,   0.09,   0.03,   0.09,  -0.32
19670120,   1.03,   0.95,   0.62,   0.02,   0.41,   0.08,   0.18,   0.24,   0.36,   0.50
19670123,   0.26,   1.32,   0.00,   0.00,   0.18,   0.28,   0.26,   0.34,   0.11,   0.84
19670124,  -0.01,  -0.53,  -0.04,  -0.11,   0.15,  -0.02,   0.86,   0.22,   0.10,   0.79
19670125,  -1.45,  -2.07,  -0.13,  -0.68,  -0.52,  -0.64,  -0.32,  -0.49,  -0.57,  -0.72
19670126,   0.12,  -1.50,   0.03,  -0.12,   0.27,   0.14,  -0.06,   0.39,   0.26,   0.32
19670127,   0.73,   1.35,   0.40,   0.62,   0.51,   0.79,   0.09,   0.31,   0.38,   0.36
19670130,   0.95,   1.33,   0.88,   0.44,   0.77,   1.02,  -0.25,  -0.03,   0.92,   0.47
19670131,  -0.08,   0.09,   0.02,   0.27,  -0.41,   0.27,   0.00,  -0.15,   0.04,  -0.65
19670201,  -0.23,  -0.43,   0.29,  -0.07,  -0.22,  -0.30,  -0.01,  -0.19,   0.19,  -0.59
19670202,  -0.28,   0.24,   0.72,   0.97,   0.64,   0.55,  -0.25,   0.64,   0.19,   0.37
19670203,   1.04,   0.70,   1.02,   1.18,   0.74,   0.35,   0.89,   0.58,   0.55,   0.65
19670206,   0.23,  -0.40,  -0.03,  -0.43,   0.12,  -0.30,  -0.36,  -0.28,   0.25,  -0.18
19670207,  -0.26,  -0.35,  -0.22,  -0.03,  -0.32,  -0.19,  -0.17,  -0.22,  -0.07,   0.06
19670208,   1.52,   1.32,   0.57,   0.71,   0.43,   0.80,   0.57,   0.43,   0.85,   1.70
19670209,   0.13,  -1.08,  -0.40,  -0.20,  -0.34,  -0.52,  -0.42,  -0.19,  -0.16,  -0.44
19670210,   0.75,   0.38,   0.40,   0.05,   0.27,   0.01,   0.13,   0.13,   0.26,   0.70
19670213,   0.53,   0.98,  -0.51,  -0.10,  -0.01,   0.20,  -0.13,   0.19,   0.31,   0.05
19670214,   0.81,   0.12,   0.78,   0.54,   0.31,   1.53,   0.36,   0.52,   0.83,   1.21
19670215,  -0.27,   0.02,  -0.18,   0.02,   0.40,   0.54,  -0.11,  -0.21,   0.38,  -0.46
19670216,  -0.57,  -0.48,  -0.83,  -0.34,  -0.55,   0.05,  -0.17,  -0.24,  -0.65,  -0.43
19670217,  -0.48,   0.27,  -0.52,  -0.30,  -0.13,  -0.14,   0.29,   0.20,   0.16,   0.43
19670220,  -0.40,  -1.35,  -0.83,  -0.91,  -0.61,  -0.16,  -0.29,  -0.49,  -0.22,   0.01
19670221,  -0.43,  -0.16,   0.09,  -0.41,   0.41,   0.08,   0.00,  -0.02,   0.21,   0.14
19670223,  -0.32,   0.35,  -0.07,   0.27,   0.15,   0.08,   0.06,   0.16,   0.18,   0.26
19670224,  -0.49,  -0.44,  -0.06,   0.27,   0.01,   0.23,   0.02,   0.26,   0.21,   0.55
19670227,  -1.64,  -1.54,  -1.21,  -1.39,  -0.88,  -1.02,  -0.57,  -1.12,  -0.84,  -1.34
19670228,   0.50,   0.51,  -0.29,   0.40,   0.78,  -0.06,   0.09,  -0.15,   1.12,   0.95
19670301,   1.08,   1.03,   0.57,   1.21,   0.60,   1.73,   0.59,   0.58,   0.98,   1.17
19670302,   0.11,   0.59,   0.81,   0.45,   0.14,   0.78,   0.46,   0.50,   0.39,   0.77
19670303,  -0.37,  -0.06,   0.70,   0.16,   0.17,  -0.02,   0.45,   0.02,   0.10,   0.58
19670306,  -0.24,  -0.55,  -0.11,  -0.11,  -0.48,   0.30,   0.15,  -0.23,  -0.41,   0.45
19670307,   0.42,   0.79,  -0.02,   0.28,  -0.65,   0.10,   0.31,  -0.04,   0.22,   0.60
19670308,  -0.21,   0.26,  -0.11,   0.13,   0.17,  -0.19,   0.48,   0.06,   0.19,   0.76
19670309,   0.46,   0.22,   0.37,  -0.20,   0.56,   0.19,   0.25,   0.36,   0.26,   0.60
19670310,   0.26,   0.68,   0.85,   0.67,  -0.30,   0.61,   0.28,   0.16,   0.57,   0.12
19670313,  -0.79,  -0.09,  -0.52,  -0.16,  -0.81,  -0.29,  -0.62,  -0.20,  -0.41,  -0.94
19670314,   0.56,  -0.04,   0.12,   0.11,   0.10,  -0.23,  -0.20,  -0.08,  -0.49,  -0.16
19670315,   1.97,   0.57,   0.70,   0.97,   1.02,   0.86,   0.43,   0.53,   0.86,   1.02
19670316,   1.82,   1.36,   1.02,   0.45,   0.90,   0.69,   0.50,   0.62,   0.89,   0.66
19670317,   0.25,   0.70,   0.55,   0.35,  -0.04,  -0.15,   0.25,   0.02,   0.12,  -0.20
19670320,  -0.52,  -0.46,  -0.19,   0.22,   0.09,   0.11,  -0.04,   0.52,   0.15,   0.08
19670321,  -1.21,  -0.27,   0.04,  -0.32,  -0.19,  -0.07,   0.03,  -0.55,  -0.04,  -0.90
19670322,   0.30,   0.54,  -0.11,   0.59,   0.31,   0.35,   0.14,   0.34,   0.24,   0.52
19670323,   0.46,   1.17,   0.52,   0.91,   0.66,   0.21,   0.56,   0.23,   1.07,   0.89
19670327,  -1.23,  -0.93,   0.63,   0.10,   0.35,   0.54,  -0.28,   0.02,   0.37,   0.06
19670328,   0.13,   0.14,   0.18,  -0.21,   0.08,   0.33,  -0.10,   0.39,   0.03,   0.05
19670329,   0.30,  -0.85,  -0.28,  -0.22,  -0.25,  -0.12,  -0.19,   0.09,   0.19,   0.23
19670330,  -0.40,  -0.48,  -0.36,  -0.06,   0.42,   0.05,   0.27,  -0.08,   0.19,   0.86
19670331,  -0.52,  -0.65,  -0.45,   0.11,  -0.31,  -0.60,  -0.16,  -0.50,  -0.65,  -0.77
19670403,  -1.38,  -0.51,  -0.95,  -0.74,  -0.71,  -1.28,  -0.95,  -1.14,  -1.56,  -1.79
19670404,   0.37,   0.48,  -0.10,   0.36,  -0.02,  -0.01,  -0.30,  -0.33,   0.06,   0.38
19670405,   0.55,   0.38,   0.67,   0.12,   0.64,   0.58,   0.83,   0.74,   0.79,   0.82
19670406,  -0.47,   0.15,  -0.04,   0.08,   0.46,   0.19,  -0.03,   0.62,   0.65,  -0.18
19670407,  -0.86,  -0.84,  -0.71,  -0.30,  -0.61,  -0.41,  -0.19,  -0.36,  -0.95,  -0.72
19670410,  -1.55,  -1.14,  -1.16,  -0.97,  -1.12,  -1.09,  -0.78,  -1.48,  -1.26,  -1.76
19670411,   0.53,   0.57,   0.70,   0.57,   0.42,   0.81,   0.50,   0.49,   1.10,   1.48
19670412,  -0.66,  -0.15,  -0.22,   0.09,  -0.18,  -0.08,   0.06,   0.07,  -0.07,  -0.14
19670413,   0.65,   0.62,   0.57,   0.40,   0.17,   0.82,   0.30,   0.52,   1.01,   1.21
19670414,   0.77,   0.85,   1.35,   1.07,   0.73,   0.70,   0.54,   1.48,   0.91,   1.47
19670417,   1.20,   0.99,   1.49,   0.32,   0.72,   0.26,   0.51,   0.42,   0.59,   0.22
19670418,   1.22,   0.21,   0.63,   0.43,   1.02,   1.22,   0.56,   1.33,   0.81,   1.03
19670419,   0.95,   0.61,   0.61,  -0.01,  -0.22,   0.10,  -0.07,  -0.49,   0.33,   0.26
19670420,   0.88,  -0.12,   0.51,   0.33,  -0.16,  -0.01,   0.34,  -0.10,   0.30,   0.54
19670421,   1.37,   0.42,   0.77,  -0.09,  -0.17,  -0.08,  -0.06,   0.20,   0.12,   0.56
19670424,   1.63,   0.16,   0.35,   0.24,  -0.07,   0.01,   0.01,   0.05,   0.84,   0.08
19670425,   0.33,   0.95,   0.87,   0.61,   0.11,   0.23,   0.25,   0.46,   0.73,   1.06
19670426,  -0.21,  -0.38,   0.52,  -0.18,  -0.31,  -0.04,  -0.08,  -0.11,  -0.29,  -0.02
19670427,   1.14,   0.17,   1.03,   0.30,   1.10,   0.50,   0.51,   0.38,   1.67,   1.47
19670428,   0.40,   0.13,   0.84,   0.35,   0.42,   0.10,  -0.42,   0.06,   0.16,   0.07
19670501,   0.16,   0.02,  -1.19,   0.07,  -0.12,   0.23,  -0.38,   0.34,   0.38,   0.69
19670502,  -0.28,   0.22,  -0.24,   0.50,   0.03,   0.04,  -0.35,   0.12,  -0.05,   0.55
19670503,   0.86,   0.45,   0.56,   0.14,   0.04,   0.07,   0.05,   0.05,   0.29,   0.93
19670504,   0.41,   1.18,   0.43,   0.15,   0.35,   0.01,   0.53,  -0.09,   0.43,   0.26
19670505,   0.13,   0.90,  -0.14,   0.48,   0.35,   0.04,   0.11,   0.18,  -0.26,  -0.25
19670508,  -0.39,   0.96,   0.60,   0.88,   0.10,   0.49,  -0.06,   0.18,  -0.34,  -0.36
19670509,  -1.04,  -1.12,  -0.69,  -0.64,  -0.47,  -0.94,  -0.62,  -0.53,  -1.81,  -2.39
19670510,  -0.46,  -0.68,  -0.12,  -0.06,  -0.43,   0.08,  -0.21,   0.09,   0.21,   0.34
19670511,   0.84,   0.40,   0.85,   0.19,   0.73,   0.10,   0.66,   0.35,   0.25,   0.99
19670512,  -0.99,  -0.80,   0.00,  -0.24,  -0.07,   0.05,   0.17,   0.03,  -0.04,  -0.03
19670515,  -1.13,  -0.70,  -0.47,  -0.27,  -0.68,  -0.60,  -0.42,  -0.98,  -1.06,  -0.80
19670516,   0.40,   0.03,  -0.12,   0.55,   0.18,   0.57,   0.08,   1.00,   0.65,   1.46
19670517,  -0.14,  -0.12,  -0.84,  -0.44,  -0.22,  -0.35,  -0.20,   0.05,  -0.30,  -0.19
19670518,  -0.65,  -0.34,  -0.38,   0.03,  -0.26,  -0.20,  -0.41,   0.03,  -0.06,   0.43
19670519,  -0.67,  -0.55,  -0.41,  -0.62,  -0.08,  -0.29,  -0.54,  -0.53,  -0.16,   0.06
19670522,  -0.50,  -0.52,  -1.06,  -0.57,  -0.16,  -0.41,  -0.17,  -0.17,   0.07,   0.55
19670523,  -0.48,  -0.30,  -0.31,  -0.70,  -0.69,  -0.20,  -0.49,  -0.24,  -0.36,  -0.65
19670524,  -1.37,  -1.54,  -0.73,  -0.70,  -0.80,  -1.06,  -1.33,  -1.41,  -1.35,  -1.72
19670525,   0.79,   1.11,   0.82,   1.64,   0.35,   0.89,   0.56,   0.97,   1.08,   1.33
19670526,  -0.70,   0.18,   0.16,   0.25,  -0.17,   0.00,  -0.21,  -0.47,   0.12,  -0.17
19670529,  -0.31,  -0.31,  -0.39,  -0.40,  -0.73,  -0.27,  -0.47,  -0.97,  -0.18,  -0.77
19670531,  -1.82,  -1.74,  -1.37,  -1.05,  -1.03,  -1.78,  -1.72,  -1.82,  -2.01,  -3.20
19670601,   1.95,   0.62,   0.92,   1.27,   1.22,   1.02,   0.66,   0.93,   1.57,   2.38
19670602,  -0.66,  -0.30,  -0.48,  -0.45,  -0.68,  -0.18,  -0.32,  -0.03,  -0.53,  -0.02
19670605,  -1.32,  -1.82,  -1.27,  -2.02,  -0.77,  -1.47,  -1.48,  -2.25,  -1.43,  -3.17
19670606,   1.76,   1.82,   1.55,   1.73,   1.51,   1.88,   1.95,   2.58,   2.40,   3.96
19670607,   0.81,   1.08,   1.05,  -0.15,   0.50,   0.44,   1.43,   1.45,   0.89,   1.95
19670608,   0.16,   0.54,   0.31,   0.57,   0.36,   0.29,   0.50,   0.66,   1.12,   1.66
19670609,  -0.14,   0.22,   0.04,   0.02,   0.05,  -0.06,   0.44,   0.87,   0.62,   1.07
19670612,   1.45,   0.65,   0.42,   0.25,   0.29,   0.80,   0.43,   0.72,   0.71,   1.84
19670613,   1.15,   0.33,   1.26,   0.71,   0.00,   0.54,   0.41,   0.62,   0.94,   0.88
19670614,  -0.73,  -0.40,  -0.32,  -0.58,  -0.25,  -0.27,   0.01,   0.09,   0.56,   0.21
19670615,  -0.47,  -0.01,   0.01,   0.23,   0.59,  -0.19,   0.42,   0.14,   0.14,   0.91
19670616,   0.33,   0.09,  -0.46,   0.19,   0.32,  -0.03,  -0.07,   0.04,   0.07,  -0.05
19670619,  -0.14,   0.04,   0.08,  -0.33,   0.56,   0.13,  -0.16,  -0.20,   0.01,   0.45
19670620,  -0.47,  -0.62,  -0.40,  -0.02,   0.52,   0.04,  -0.04,   0.03,   0.32,   0.03
19670621,  -0.69,  -0.55,  -0.24,  -0.08,  -0.08,  -0.30,  -0.05,  -0.21,   0.08,  -0.65
19670622,   0.33,  -0.70,   0.04,  -0.07,  -0.67,  -0.39,  -0.02,   0.07,   0.00,  -0.08
19670623,   0.83,  -0.21,  -0.03,  -0.07,  -0.13,   0.00,  -0.19,   0.29,   0.38,   0.13
19670626,  -1.19,  -0.55,   0.00,  -0.91,  -0.35,  -0.23,  -0.53,  -0.14,   0.41,  -0.49
19670627,   0.37,  -0.14,   0.16,  -0.40,  -0.30,  -0.59,  -0.18,  -0.58,  -0.86,  -0.26
19670628,  -0.04,  -0.09,  -0.06,   0.41,   0.17,  -0.30,   0.13,   0.11,  -0.24,   0.71
19670629,  -0.73,  -0.52,  -0.44,  -0.53,  -0.36,  -0.12,  -0.61,  -0.32,  -0.15,  -1.22
19670630,   0.06,   0.48,   0.09,  -0.62,   0.08,   0.08,  -0.12,  -0.18,  -0.31,  -0.14
19670703,   0.51,   0.11,   0.11,   0.40,   0.58,   0.38,   0.26,   0.31,   0.44,   0.90
19670705,   0.65,   0.64,   0.91,  -0.16,   0.83,   0.40,   0.47,   0.29,   0.77,   1.17
19670706,   0.08,  -0.47,   0.72,  -0.62,   0.19,  -0.14,  -0.47,   0.47,   0.03,   0.23
19670707,   0.46,   0.76,   0.37,  -0.04,   0.61,   0.54,   0.44,   0.75,   0.57,   0.99
19670710,   0.35,   0.59,   0.43,  -0.95,   0.93,   0.38,   0.36,   1.19,   0.81,   1.12
19670711,   0.76,   0.77,   0.18,   1.09,  -0.02,   0.47,   0.15,   0.11,   0.37,   0.29
19670712,   0.45,   0.00,   0.16,  -0.29,   0.01,   0.07,  -0.30,  -0.31,  -0.26,   0.69
19670713,  -0.26,   0.25,   0.18,   0.03,  -0.10,  -0.05,   0.24,   0.21,   0.09,   0.03
19670714,   2.17,   0.18,   0.04,  -0.32,   0.72,   0.23,   0.55,   0.64,   0.23,   0.45
19670717,   0.07,   0.14,  -0.35,   0.08,   0.13,   0.45,   0.30,   0.33,  -0.17,  -0.13
19670718,   1.84,   0.64,   1.71,   0.72,   0.47,   0.47,   0.35,   0.44,   0.33,   0.47
19670719,  -0.09,   0.55,   0.40,   0.45,   0.42,  -0.14,  -0.49,   0.70,  -0.67,  -0.19
19670720,   0.60,   0.92,   0.33,   0.19,   0.46,   0.05,   0.01,  -0.85,   0.03,  -0.17
19670721,   0.39,   0.12,   0.61,   0.04,  -0.03,   0.15,  -0.08,   0.04,  -0.16,  -0.61
19670724,  -0.61,   0.28,  -0.37,  -0.79,  -0.15,  -0.26,   0.10,  -0.16,  -0.66,  -0.95
19670725,   0.17,   0.11,  -0.47,  -0.12,   0.14,   0.39,   0.12,   0.13,  -0.25,   0.42
19670726,   0.68,   0.44,  -0.21,  -0.19,  -0.08,   0.06,   1.14,   0.69,   1.18,   1.55
19670727,  -0.16,  -0.21,   0.60,   0.05,   0.07,   0.59,   0.50,   0.54,   0.78,   1.01
19670728,   0.68,   0.51,  -0.36,  -0.20,   0.19,   0.43,   0.06,   0.46,   0.29,  -0.03
19670731,   0.34,   0.36,   1.15,  -0.07,   0.23,  -0.07,   0.30,   0.31,   0.42,   0.08
19670801,   0.84,   0.64,   0.77,   0.56,   0.95,  -0.03,   0.73,   0.31,   0.73,   0.90
19670802,  -0.14,   0.25,   1.20,   0.22,   0.90,   0.35,   0.73,   0.20,  -0.33,  -0.26
19670803,   0.59,  -0.27,  -0.23,  -0.29,  -0.30,  -0.19,  -0.14,  -0.38,  -0.22,  -0.13
19670804,   0.64,   0.54,  -0.32,   0.47,   0.51,  -0.02,   0.28,   0.18,   0.32,   0.99
19670807,  -0.02,  -0.27,  -0.21,  -0.33,   0.16,  -0.19,  -0.24,   0.07,  -0.23,  -0.55
19670808,   0.18,   0.13,  -0.23,   0.22,   0.26,   0.07,   0.05,   0.04,   0.24,   0.20
19670809,   0.00,   0.05,   0.52,   0.47,   0.43,  -0.12,  -0.62,  -0.29,   0.23,   0.34
19670810,  -0.25,   0.12,   0.11,  -0.19,  -0.01,  -0.47,  -0.24,  -0.98,  -0.32,  -0.58
19670811,  -0.70,  -0.51,   0.01,  -0.53,  -0.33,  -0.11,  -0.30,  -0.81,  -0.81,  -0.98
19670814,  -0.50,  -0.51,  -0.16,  -0.10,  -0.63,  -0.53,  -0.49,  -0.55,  -0.73,  -1.31
19670815,   0.26,   0.10,   0.14,   0.29,  -0.17,   0.16,   0.51,   0.13,  -0.27,  -0.35
19670816,  -0.37,  -0.07,  -0.06,  -0.54,  -0.33,  -0.22,  -0.06,   0.28,  -0.23,  -0.58
19670817,  -0.17,   0.13,   0.06,   0.31,   0.10,   0.36,   0.19,  -0.19,   0.12,   0.43
19670818,   0.60,   0.07,  -0.12,   0.01,  -0.04,   0.45,   0.23,   0.39,   0.52,   0.15
19670821,  -0.49,  -0.44,  -0.12,  -0.45,  -0.51,  -0.43,  -0.87,  -0.37,  -0.85,  -0.60
19670822,  -0.78,  -0.33,  -0.77,  -0.56,  -0.45,  -0.20,  -0.69,  -0.65,  -0.63,  -0.26
19670823,  -0.04,  -0.13,   0.19,  -0.23,  -0.45,  -0.28,  -0.14,   0.22,  -0.19,   0.45
19670824,  -0.73,  -0.66,  -0.67,  -0.02,  -0.29,  -0.30,  -0.35,  -0.65,  -1.23,  -0.91
19670825,  -0.26,  -0.26,  -0.02,  -0.27,  -0.21,  -0.77,  -0.51,  -0.73,  -0.47,  -0.92
19670828,   0.40,   0.16,  -0.95,   0.16,  -0.10,   0.28,   0.10,   0.05,   0.34,   0.44
19670829,  -0.09,  -0.12,   0.40,  -0.09,   0.40,   0.39,   0.49,   0.69,   0.94,   0.34
19670830,  -0.13,   0.02,   0.43,  -0.02,   0.52,   0.44,   0.33,   0.51,   0.67,   0.93
19670831,   0.34,   0.36,   0.32,   0.83,   0.46,   0.72,   0.73,   0.82,   1.35,   1.66
19670901,   0.13,  -0.10,   0.11,  -0.38,   0.11,   0.18,   0.44,   0.13,   0.98,   1.19
19670905,   0.55,   0.40,   0.90,   0.30,   0.16,   0.44,   0.67,   0.76,   0.86,   0.38
19670906,  -0.16,   0.21,   0.12,   0.48,   0.22,   0.01,   0.47,   0.36,   0.51,  -0.01
19670907,  -0.06,  -0.03,  -0.08,  -0.02,   0.46,   0.07,  -0.42,  -0.37,   0.04,  -0.09
19670908,   0.00,  -0.11,  -0.11,   0.04,  -0.03,   0.26,   0.03,   0.09,   0.17,   0.20
19670911,   0.04,  -0.05,  -0.01,   0.05,   0.28,   0.16,   0.60,   0.51,   0.04,   0.13
19670912,   0.78,   0.61,   0.35,   0.04,   0.53,   0.17,   0.80,   0.72,   0.53,   0.46
19670913,   2.73,   0.75,   0.71,   0.87,   0.91,   0.40,   0.76,   0.14,   0.63,   0.90
19670914,   0.41,   0.85,   0.36,   0.35,   0.44,  -0.27,  -0.55,  -0.29,   0.38,  -0.71
19670915,  -0.23,   0.21,   0.49,  -0.16,   0.29,  -0.22,  -0.15,   0.13,   0.27,   0.21
19670918,   1.17,  -0.24,   0.79,   0.17,   0.21,  -0.03,   0.28,  -0.14,   0.33,  -0.15
19670919,  -0.86,  -0.49,  -0.20,  -0.23,  -0.18,  -0.29,  -0.51,  -0.06,  -0.90,  -0.93
19670920,   0.00,   0.02,  -0.26,  -0.23,   0.30,   0.11,   0.37,  -0.08,   0.32,   0.98
19670921,   0.44,   0.11,   0.43,  -0.28,   0.09,   0.79,   0.42,   2.61,   0.52,   0.69
19670922,   0.35,  -0.30,  -0.12,   0.28,   0.14,   0.85,   0.41,   0.52,   0.55,   1.03
19670925,   0.78,   0.28,   1.10,   0.01,   0.23,  -0.12,   1.03,   0.48,   0.42,   0.24
19670926,  -0.16,  -0.74,  -1.08,  -0.99,  -0.91,  -0.98,  -1.19,  -0.90,  -0.66,  -1.56
19670927,  -0.41,   0.22,   0.07,   0.00,   0.21,   0.31,  -0.20,   0.19,   0.11,   0.47
19670928,   0.01,  -0.01,  -0.10,   0.14,  -0.26,   0.03,   0.48,   0.12,   0.41,   0.67
19670929,  -0.24,  -0.19,  -0.15,  -0.02,   0.32,   0.02,   0.18,  -0.15,   0.44,   0.59
19671002,  -0.23,  -0.22,  -0.70,  -0.11,  -0.25,  -0.07,  -0.57,  -0.04,  -0.78,  -0.68
19671003,   0.06,   0.16,   0.30,   0.50,   0.18,   0.17,   0.89,   0.24,   0.33,   0.67
19671004,  -0.35,   0.09,  -0.23,  -0.04,  -0.13,  -0.48,   0.03,  -0.12,  -0.09,   0.31
19671005,   0.02,   0.58,   0.04,  -0.33,   0.07,   0.11,   0.70,   0.28,   0.29,   1.09
19671006,   0.33,   0.46,   0.59,   0.09,   0.34,   0.27,   0.59,   1.51,   0.16,   1.74
19671009,   0.35,   0.25,   0.36,   0.08,   0.03,  -0.14,   0.40,   0.17,   0.38,  -0.04
19671010,  -0.32,  -0.75,  -0.58,  -0.73,  -0.72,  -1.14,  -0.49,  -0.97,  -0.94,  -1.57
19671011,  -0.73,  -0.22,  -0.45,  -0.64,  -0.60,  -0.58,   0.46,  -0.52,  -0.62,  -1.02
19671012,  -0.17,  -0.67,  -0.64,  -0.88,  -0.81,  -0.89,  -0.44,  -0.57,  -0.73,  -0.84
19671013,   0.19,   0.16,   0.27,   0.45,  -0.24,  -0.14,   0.39,   0.46,  -0.14,   0.66
19671016,  -0.70,  -1.22,  -0.99,  -0.58,  -0.44,  -0.58,  -0.59,  -0.82,  -0.84,  -0.97
19671017,  -0.47,  -0.40,  -0.05,  -0.22,   0.56,  -0.35,  -0.74,   0.02,   0.19,   0.99
19671018,  -0.09,  -0.15,   0.31,   0.02,   0.19,   0.03,   0.99,   0.13,   0.41,   1.16
19671019,  -0.22,   0.05,   0.17,   0.12,   0.07,  -0.04,   0.58,   0.06,   0.57,  -0.20
19671020,  -0.40,  -0.15,   0.18,  -0.28,  -0.30,  -0.12,  -0.37,   0.51,  -0.33,   0.20
19671023,  -0.30,  -0.29,  -0.36,  -0.55,  -0.38,  -0.61,  -0.61,  -1.13,  -0.36,  -0.12
